locus_tag	simbolo	alias	tipo	producto	es_tf	fuente_tf	fuente	sensible_mayusculas
PA4253	rplN	PA4253	protein_coding	50S ribosomal protein L14	false		refseq|kegg|uniprot|uniprot_especie	false
PA4254	rpsQ	PA4254	protein_coding	30S ribosomal protein S17	false		refseq|kegg|uniprot|uniprot_especie	false
PA4255	rpmC	PA4255	protein_coding	50S ribosomal protein L29	false		refseq|kegg|uniprot|uniprot_especie	false
PA4256	rplP	PA4256	protein_coding	50S ribosomal protein L16	false		refseq|kegg|uniprot|uniprot_especie	false
PA4257	rpsC	PA4257	protein_coding	30S ribosomal protein S3	false		refseq|kegg|uniprot|uniprot_especie	false
PA4258	rplV	PA4258	protein_coding	50S ribosomal protein L22	false		refseq|kegg|uniprot|uniprot_especie	false
PA4259	rpsS	PA4259	protein_coding	30S ribosomal protein S19	false		refseq|kegg|uniprot|uniprot_especie	false
PA4260	rplB	PA4260	protein_coding	50S ribosomal protein L2	false		refseq|kegg|uniprot|uniprot_especie	false
PA4261	rplW	PA4261	protein_coding	50S ribosomal protein L23	false		refseq|kegg|uniprot|uniprot_especie	false
PA4262	rplD	PA4262	protein_coding	50S ribosomal protein L4	false		refseq|kegg|uniprot|uniprot_especie	false
PA4263	rplC	PA4263	protein_coding	50S ribosomal protein L3	false		refseq|kegg|uniprot|uniprot_especie	false
PA4264	rpsJ	PA4264	protein_coding	30S ribosomal protein S10	false		refseq|kegg|uniprot|uniprot_especie	false
PA4265	tufA	PA4265	protein_coding	elongation factor Tu	false		refseq|kegg	false
PA4266	fusA1	PA4266|fusA	protein_coding	elongation factor G	false		refseq|kegg|uniprot|uniprot_especie	false
PA4267	rpsG	PA4267	protein_coding	30S ribosomal protein S7	false		refseq|kegg|uniprot|uniprot_especie	false
PA4268	rpsL	PA4268	protein_coding	30S ribosomal protein S12	false		refseq|kegg|uniprot|uniprot_especie	false
PA4269	rpoC	PA4269	protein_coding	DNA-directed RNA polymerase subunit beta	false		refseq|kegg|uniprot|uniprot_especie	false
PA4270	rpoB	PA4270	protein_coding	DNA-directed RNA polymerase subunit beta	false		refseq|kegg|uniprot|uniprot_especie	false
PA4270.1		PA4270.1	ncRNA	P26	false		refseq|kegg	false
PA4271	rplL	PA4271	protein_coding	50S ribosomal protein L7/L12	false		refseq|kegg|uniprot|uniprot_especie	false
PA4272	rplJ	PA4272	protein_coding	50S ribosomal protein L10	false		refseq|kegg|uniprot|uniprot_especie	false
PA4272.1		PA4272.1	ncRNA	P27	false		refseq|kegg	false
PA4273	rplA	PA4273	protein_coding	50S ribosomal protein L1	false		refseq|kegg|uniprot|uniprot_especie	false
PA4274	rplK	PA4274	protein_coding	50S ribosomal protein L11	false		refseq|kegg|uniprot|uniprot_especie	false
PA4275	nusG	PA4275	protein_coding	transcription antitermination protein NusG	true	kw_transcription_regulation	refseq|kegg|uniprot|uniprot_especie	false
PA4276	secE	PA4276	protein_coding	preprotein translocase subunit SecE	false		refseq|kegg|uniprot|uniprot_especie	false
PA4276.1		PA4276.1	tRNA	tRNA-Trp	false		refseq|kegg	false
PA4277	tufB	PA4277	protein_coding	elongation factor Tu	false		refseq|kegg|uniprot|uniprot_especie	false
PA4277.1		PA4277.1	tRNA	tRNA-Thr	false		refseq|kegg	false
PA4277.2		PA4277.2	tRNA	tRNA-Gly	false		refseq|kegg	false
PA4277.3		PA4277.3	tRNA	tRNA-Tyr	false		refseq|kegg	false
PA4278		PA4278	protein_coding	hypothetical protein	false		refseq|kegg|uniprot	false
PA4279	coaX	PA4279|coaA	protein_coding	pantothenate kinase	false		refseq|kegg|uniprot|uniprot_especie	false
PA4280	birA	PA4280	protein_coding	biotin--protein ligase	true	go_0006355|kw_transcription_regulation	refseq|kegg|uniprot	false
